date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:06:52	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-605dacca-530143f623893730;gz%22	https://edcwebpromo.online/robots.txt		(from )
15:06:53	23044/23044	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jan%202023%2008:06:52%20GMT	https://edcwebpromo.online/skemal/	D:/sekmal/edcwebpromo.online/skemal/index.html	(from )
15:06:53	51284/51284	---M-Z	200	added ('OK')	text/css	etag:W/%22635b4489-c854%22	https://code.ionicframework.com/ionicons/2.0.1/css/ionicons.min.css	D:/sekmal/code.ionicframework.com/ionicons/2.0.1/css/ionicons.min.css	(from https://edcwebpromo.online/skemal/)
15:06:53	6558/6558	---M-Z	200	added ('OK')	image/x-icon	etag:%22199e-63b5161c-d6a99dcbed611226;gz%22	https://edcwebpromo.online/skemal/img/favicon.ico	D:/sekmal/edcwebpromo.online/skemal/img/favicon.ico	(from https://edcwebpromo.online/skemal/)
15:06:55	69772/69772	---M--	200	added ('OK')	application/x-font-woff	etag:%221108c-63b5161c-4e2286c206ff51ee;;;%22	https://edcwebpromo.online/skemal/fonts/AvenirNextLTPro-Bold.otf	D:/sekmal/edcwebpromo.online/skemal/fonts/AvenirNextLTPro-Bold.otf	(from https://edcwebpromo.online/skemal/)
15:06:56	123714/123714	---M--	200	added ('OK')	image/jpeg	date:Fri,%2018%20Nov%202022%2005:14:03%20GMT	https://i.ibb.co/6wpBpPy/Ej-EAbf-PVg-AATo-Ur-picsay.jpg	D:/sekmal/i.ibb.co/6wpBpPy/Ej-EAbf-PVg-AATo-Ur-picsay.jpg	(from https://edcwebpromo.online/skemal/)
15:06:56	51/51	---M-Z	404	error ('Not%20Found')	text/plain	etag:W/%2233-PjWwTBuWAp3Y/PjPe+goI9H7he8%22	https://cdn.jsdelivr.net/gh/AlexHostX/another@main/brims/20220617_022922.png	D:/sekmal/cdn.jsdelivr.net/gh/AlexHostX/another@main/brims/20220617_022922.6.delayed	(from https://edcwebpromo.online/skemal/)
15:06:56	44171/44171	---M--	200	added ('OK')	image/jpeg	etag:%22ac8b-63b5161c-594cd1ce3b0e22d2;;;%22	https://edcwebpromo.online/skemal/img/head.jpg	D:/sekmal/edcwebpromo.online/skemal/img/head.jpg	(from https://edcwebpromo.online/skemal/)
15:06:57	119546/119546	---M--	200	added ('OK')	image/jpeg	etag:%221d2fa-63b5161c-b28b06a8d6a311c9;;;%22	https://edcwebpromo.online/skemal/img/2.jpg	D:/sekmal/edcwebpromo.online/skemal/img/2.jpg	(from https://edcwebpromo.online/skemal/)
15:06:57	123714/123714	---M--	200	added ('OK')	image/jpeg	etag:%221e342-63b5161c-d5a2ca3f2813f618;;;%22	https://edcwebpromo.online/skemal/img/1.jpg	D:/sekmal/edcwebpromo.online/skemal/img/1.jpg	(from https://edcwebpromo.online/skemal/)
15:06:58	45960/45960	---M--	200	added ('OK')	image/png	etag:%22b388-63b5161c-d8ff1790e1f19bec;;;%22	https://edcwebpromo.online/skemal/img/logo-ojk.png	D:/sekmal/edcwebpromo.online/skemal/img/logo-ojk.png	(from https://edcwebpromo.online/skemal/)
15:06:58	15795/15795	---M--	200	added ('OK')	image/png	etag:%223db3-63b5161c-287010f91b66bd31;;;%22	https://edcwebpromo.online/skemal/img/logo-lps.png	D:/sekmal/edcwebpromo.online/skemal/img/logo-lps.png	(from https://edcwebpromo.online/skemal/)
15:07:00	85656/85656	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-14e98%22	http://cdnjs.cloudflare.com/ajax/libs/jquery/2.2.2/jquery.min.js	D:/sekmal/cdnjs.cloudflare.com/ajax/libs/jquery/2.2.2/jquery.min.js	(from https://edcwebpromo.online/skemal/)
15:07:01	89476/89476	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262f659d6-15d84%22	https://code.jquery.com/jquery-3.5.1.min.js	D:/sekmal/code.jquery.com/jquery-3.5.1.min.js	(from https://edcwebpromo.online/skemal/)
15:07:02	93107/93107	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262f659d5-16bb3%22	https://code.jquery.com/jquery-1.10.2.min.js	D:/sekmal/code.jquery.com/jquery-1.10.2.min.js	(from https://edcwebpromo.online/skemal/)
15:07:03	84245/84245	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.1.1/jquery.min.js	D:/sekmal/ajax.googleapis.com/ajax/libs/jquery/2.1.1/jquery.min.js	(from https://edcwebpromo.online/skemal/)
15:07:03	84320/84320	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.1.3/jquery.min.js	D:/sekmal/ajax.googleapis.com/ajax/libs/jquery/2.1.3/jquery.min.js	(from https://edcwebpromo.online/skemal/)
15:07:04	89476/89476	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	D:/sekmal/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from https://edcwebpromo.online/skemal/)
15:07:05	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:%22603e8adc-15d9d%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.6.0/jquery.min.js	D:/sekmal/cdnjs.cloudflare.com/ajax/libs/jquery/3.6.0/jquery.min.js	(from https://edcwebpromo.online/skemal/)
